,Last_Update,Province_State,Country_Region,Confirmed,Deaths,Confirmed_perday,Deaths_perday
37,2022-11-24 04:21:09,None,Benin,27922,163,0.0,0.0
37,2022-11-25 04:21:06,None,Benin,27922,163,0.0,0.0
37,2022-11-26 04:21:11,None,Benin,27922,163,0.0,0.0
37,2022-11-27 04:21:05,None,Benin,27922,163,0.0,0.0
37,2022-11-28 04:21:02,None,Benin,27922,163,0.0,0.0
37,2022-11-29 04:21:05,None,Benin,27922,163,0.0,0.0
37,2022-11-30 04:21:07,None,Benin,27980,163,58.0,0.0
38,2022-11-23 04:21:06,None,Bhutan,62488,21,34508.0,-142.0
38,2022-11-24 04:21:09,None,Bhutan,62488,21,0.0,0.0
38,2022-11-25 04:21:06,None,Bhutan,62488,21,0.0,0.0
38,2022-11-26 04:21:11,None,Bhutan,62488,21,0.0,0.0
38,2022-11-27 04:21:05,None,Bhutan,62488,21,0.0,0.0
38,2022-11-28 04:21:02,None,Bhutan,62488,21,0.0,0.0
38,2022-11-29 04:21:05,None,Bhutan,62488,21,0.0,0.0
38,2022-11-30 04:21:07,None,Bhutan,62503,21,15.0,0.0
39,2022-11-23 04:21:06,None,Bolivia,1110256,22244,1047753.0,22223.0
39,2022-11-24 04:21:09,None,Bolivia,1110413,22244,157.0,0.0
39,2022-11-25 04:21:06,None,Bolivia,1110413,22244,0.0,0.0
39,2022-11-26 04:21:11,None,Bolivia,1110505,22244,92.0,0.0
39,2022-11-27 04:21:05,None,Bolivia,1110608,22245,103.0,1.0
39,2022-11-28 04:21:02,None,Bolivia,1110701,22246,93.0,1.0
39,2022-11-29 04:21:05,None,Bolivia,1110766,22246,65.0,0.0
39,2022-11-30 04:21:07,None,Bolivia,1111086,22247,320.0,1.0
40,2022-11-23 04:21:06,None,Bosnia and Herzegovina,400412,16197,-710674.0,-6050.0
40,2022-11-24 04:21:09,None,Bosnia and Herzegovina,400430,16198,18.0,1.0
40,2022-11-25 04:21:06,None,Bosnia and Herzegovina,400448,16199,18.0,1.0
40,2022-11-26 04:21:11,None,Bosnia and Herzegovina,400466,16200,18.0,1.0
40,2022-11-27 04:21:05,None,Bosnia and Herzegovina,400466,16200,0.0,0.0
40,2022-11-28 04:21:02,None,Bosnia and Herzegovina,400466,16200,0.0,0.0
40,2022-11-29 04:21:05,None,Bosnia and Herzegovina,400501,16201,35.0,1.0
40,2022-11-30 04:21:07,None,Bosnia and Herzegovina,400529,16202,28.0,1.0
41,2022-11-23 04:21:06,None,Botswana,326344,2790,-74185.0,-13412.0
41,2022-11-24 04:21:09,None,Botswana,326344,2790,0.0,0.0
41,2022-11-25 04:21:06,None,Botswana,326344,2790,0.0,0.0
41,2022-11-26 04:21:11,None,Botswana,326344,2790,0.0,0.0
41,2022-11-27 04:21:05,None,Botswana,326344,2790,0.0,0.0
41,2022-11-28 04:21:02,None,Botswana,326344,2790,0.0,0.0
41,2022-11-29 04:21:05,None,Botswana,326373,2790,29.0,0.0
41,2022-11-30 04:21:07,None,Botswana,326373,2790,0.0,0.0
42,2022-11-23 04:21:06,Acre,Brazil,152966,2029,-173407.0,-761.0
42,2022-11-24 04:21:09,Acre,Brazil,153137,2029,171.0,0.0
42,2022-11-25 04:21:06,Acre,Brazil,153137,2029,0.0,0.0
42,2022-11-26 04:21:11,Acre,Brazil,153420,2029,283.0,0.0
42,2022-11-27 04:21:05,Acre,Brazil,153420,2029,0.0,0.0
42,2022-11-28 04:21:02,Acre,Brazil,153420,2029,0.0,0.0
42,2022-11-29 04:21:05,Acre,Brazil,153420,2029,0.0,0.0
42,2022-11-30 04:21:07,Acre,Brazil,153730,2029,310.0,0.0
43,2022-11-23 04:21:06,Alagoas,Brazil,322621,7137,168891.0,5108.0
43,2022-11-24 04:21:09,Alagoas,Brazil,322837,7137,216.0,0.0
